accuracy_after_ft,accuracy_before_ft,accuracy_drop,accuracy_recovery,achieved_sparsity_global,error,method,pruning_method,run_dir,seed,target_sparsity
0.01,0.01,0.7161,0.0,0.6803977272727273,,bp_antidecouple,cap_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.7
0.01,0.01,0.7161,0.0,0.7760416666666666,,bp_antidecouple,cap_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.8
0.01,0.01,0.7161,0.0,0.8752367424242424,,bp_antidecouple,cap_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.9
0.721,0.721,0.005099999999999993,0.0,0.09990530303030302,,bp_antidecouple,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.1
0.0252,0.0252,0.7009,0.0,0.2980587121212121,,bp_antidecouple,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.3
0.01,0.01,0.7161,0.0,0.48200757575757575,,bp_antidecouple,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.5
0.01,0.01,0.7161,0.0,0.6803977272727273,,bp_antidecouple,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.7
0.01,0.01,0.7161,0.0,0.7760416666666666,,bp_antidecouple,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.8
0.01,0.01,0.7161,0.0,0.8752367424242424,,bp_antidecouple,composite_twoaxis_ixy_hybrid_taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190044_13530277,456,0.9
0.7182,0.7182,0.0038000000000000256,0.0,0.09990530303030302,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190045_13530279,1011,0.1
0.0769,0.0769,0.6451,0.0,0.2999526515151515,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190045_13530279,1011,0.3
0.01,0.01,0.712,0.0,0.4815340909090909,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190045_13530279,1011,0.5
0.01,0.01,0.712,0.0,0.6782670454545454,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190045_13530279,1011,0.7
0.01,0.01,0.712,0.0,0.7760416666666666,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190045_13530279,1011,0.8
0.01,0.01,0.712,0.0,0.8707386363636364,,bp_antidecouple,magnitude,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190045_13530279,1011,0.9
0.7139,0.7139,0.008099999999999996,0.0,0.09990530303030302,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190045_13530279,1011,0.1
0.022,0.022,0.7,0.0,0.296875,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190045_13530279,1011,0.3
0.0126,0.0126,0.7094,0.0,0.4817708333333333,,bp_antidecouple,taylor,results/learning_rules/vgg16_cifar100/vgg16_cifar100_bp_antidecouple_e100_20260517_190045_13530279,1011,0.5
